City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nome,US,64.5011,-165.4064,55.17,94,100,6.91,overcast clouds
80,Bambous Virieux,MU,-20.3428,57.7575,75.22,56,40,12.66,scattered clouds
81,Antsohihy,MG,-14.8796,47.9875,80.89,39,20,14.29,few clouds
82,Leningradskiy,RU,69.3833,178.4167,41.92,78,91,13.51,overcast clouds
83,Marzuq,YE,14.4,46.4667,88.77,23,100,12.88,overcast clouds
84,Thompson,CA,55.7435,-97.8558,53.76,82,0,2.3,clear sky
85,Belozerskoye,RU,55.8214,65.5842,77.52,51,16,6.55,light rain
86,High Rock,BS,26.6208,-78.2833,82.42,74,50,14.03,scattered clouds
87,Itoman,JP,26.1247,127.6694,88.57,82,75,9.22,broken clouds
88,Torbay,CA,47.6666,-52.7314,54.28,86,75,16.11,broken clouds
89,Sembabule,UG,-0.0772,31.4567,76.23,35,70,8.52,broken clouds
90,Hithadhoo,MV,-0.6,73.0833,82.17,74,100,1.45,overcast clouds
91,Shihezi,CN,44.3,86.0333,91.38,17,58,8.28,broken clouds
92,Port Alfred,ZA,-33.5906,26.891,62.04,49,5,6.53,clear sky
93,Yellowknife,CA,62.456,-114.3525,66.72,48,20,4.61,few clouds
94,Hermanus,ZA,-34.4187,19.2345,51.8,83,100,8.16,overcast clouds
95,Ibra,OM,22.6906,58.5334,83.16,72,100,5.82,moderate rain
96,Katsuura,JP,35.1333,140.3,77.32,73,7,20.62,clear sky
97,Elliot Lake,CA,46.3834,-82.6331,55.18,84,69,7.45,broken clouds
98,Narsaq,GL,60.9167,-46.05,43.3,80,87,2.98,overcast clouds
99,Rivers,CA,50.0308,-100.2403,54.55,91,1,4.79,clear sky
100,Antalaha,MG,-14.9003,50.2788,73.58,71,41,12.77,light rain
101,Ancud,CL,-41.8697,-73.8203,48.22,86,100,15.97,overcast clouds
102,Pitimbu,BR,-7.4706,-34.8086,72.19,87,43,14.03,scattered clouds
103,Tiksi,RU,71.6872,128.8694,41.52,59,100,5.1,overcast clouds
104,Hualmay,PE,-11.0964,-77.6139,60.33,85,28,7.09,scattered clouds
105,Pacific Grove,US,36.6177,-121.9166,63.01,86,0,4.61,clear sky
106,San Fernando,PH,15.0286,120.6898,91.13,77,100,3.62,light rain
107,Buala,SB,-8.145,159.5921,81.99,76,97,7.87,overcast clouds
108,Conceicao Da Barra,BR,-18.5933,-39.7322,70.25,86,100,5.93,overcast clouds
109,Kavieng,PG,-2.5744,150.7967,81.21,81,100,14.12,moderate rain
110,Bosaso,SO,11.2842,49.1816,93.18,38,0,32.21,clear sky
111,Dukat,RU,62.55,155.55,81.52,34,0,22.68,clear sky
112,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,83,100,7.36,overcast clouds
113,Nanortalik,GL,60.1432,-45.2371,43.12,93,100,0.6,overcast clouds
114,Gravatai,BR,-29.9444,-50.9919,58.75,88,100,8.05,moderate rain
115,Pelym,RU,61.0108,61.9978,86.18,37,100,5.06,overcast clouds
116,Kharovsk,RU,59.9642,40.1912,69.46,49,16,6.15,few clouds
117,Tezpur,IN,26.6333,92.8,91.98,64,80,8.66,moderate rain
118,Butaritari,KI,3.0707,172.7902,81.61,79,92,12.37,light rain
119,Port Elizabeth,ZA,-33.918,25.5701,48.49,87,0,1.14,clear sky
120,Surami,GE,42.0243,43.5556,76.68,47,0,7.65,clear sky
121,Sitka,US,57.0531,-135.33,55.2,93,98,2.17,overcast clouds
122,Srednekolymsk,RU,67.45,153.6833,85.37,43,17,6.91,few clouds
123,Chegdomyn,RU,51.1167,133.0167,67.87,99,100,2.26,moderate rain
124,Chara,RU,56.9064,118.2631,69.4,49,100,5.35,light rain
125,Phonhong,LA,18.5007,102.4166,81.12,90,100,3.42,overcast clouds
126,Upernavik,GL,72.7868,-56.1549,40.06,93,43,6.89,scattered clouds
127,Nizhnyaya Tavda,RU,57.6731,66.1725,77.67,47,71,2.13,broken clouds
128,Wajir,KE,1.7471,40.0573,76.96,61,40,13.8,scattered clouds
129,Palmer,US,42.1584,-72.3287,65.44,90,75,3.44,broken clouds
130,Dikson,RU,73.5069,80.5464,34.74,99,100,10.58,light snow
131,Omboue,GA,-1.5746,9.2618,73.49,82,96,7.23,overcast clouds
132,Codrington,AU,-38.2667,141.9667,51.48,72,31,15.52,scattered clouds
133,Mar Del Plata,AR,-38.0023,-57.5575,42.87,59,10,3.0,clear sky
134,Teguldet,RU,57.3064,88.1667,77.23,36,15,5.21,few clouds
135,Hailey,US,43.5196,-114.3153,66.88,51,0,9.22,clear sky
136,Viru,PE,-8.4167,-78.75,63.34,79,0,2.3,clear sky
137,New Norfolk,AU,-42.7826,147.0587,49.91,80,100,4.0,overcast clouds
138,Sobolevo,RU,54.4299,31.8996,65.25,71,100,2.46,overcast clouds
139,Kelamangalam,IN,12.6,77.85,79.36,71,100,22.53,overcast clouds
