City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Muriti,TZ,2022-07-08 00:44:51,-1.9833,32.9167,72.05,59,96,16.6
1,Nanortalik,GL,2022-07-08 00:44:51,60.1432,-45.2371,43.43,93,43,3.47
2,Cape Town,ZA,2022-07-08 00:42:31,-33.9258,18.4232,61.38,90,40,3.0
3,Barrow,US,2022-07-08 00:44:52,71.2906,-156.7887,42.82,87,100,8.05
4,Tiksi,RU,2022-07-08 00:44:52,71.6872,128.8694,39.69,65,100,8.55
5,Kulhudhuffushi,MV,2022-07-08 00:44:52,6.6221,73.07,81.86,83,78,18.54
6,Bredasdorp,ZA,2022-07-08 00:44:53,-34.5322,20.0403,49.1,93,13,3.71
7,Sesheke,ZM,2022-07-08 00:44:53,-17.4759,24.2968,52.29,50,0,3.87
8,Ushuaia,AR,2022-07-08 00:44:53,-54.8,-68.3,29.86,69,20,4.61
9,Sardarshahr,IN,2022-07-08 00:44:53,28.4333,74.4833,91.6,48,8,9.06
10,Cusuna,HN,2022-07-08 00:44:54,15.85,-85.2333,77.67,85,0,5.48
11,Mahebourg,MU,2022-07-08 00:44:54,-20.4081,57.7,70.09,78,75,13.8
12,Malangali,TZ,2022-07-08 00:44:54,-8.5667,34.85,55.81,83,27,12.48
13,Kodiak,US,2022-07-08 00:44:55,57.79,-152.4072,53.11,94,100,12.66
14,Mandera,KE,2022-07-08 00:44:55,3.9366,41.867,74.8,60,94,16.69
15,Rikitea,PF,2022-07-08 00:44:55,-23.1203,-134.9692,74.89,72,3,20.89
16,Namibe,AO,2022-07-08 00:42:57,-15.1961,12.1522,66.36,82,0,3.94
17,Qaanaaq,GL,2022-07-08 00:44:56,77.484,-69.3632,43.34,72,60,3.29
18,Hobart,AU,2022-07-08 00:40:39,-42.8794,147.3294,51.26,84,75,14.97
19,High Level,CA,2022-07-08 00:44:56,58.5169,-117.136,77.11,50,75,10.36
20,Kaitangata,NZ,2022-07-08 00:44:56,-46.2817,169.8464,47.82,92,100,20.92
21,Mar Del Plata,AR,2022-07-08 00:44:57,-38.0023,-57.5575,43.88,51,0,6.91
22,Dunedin,NZ,2022-07-08 00:44:43,-45.8742,170.5036,46.8,93,100,21.99
23,Deskati,GR,2022-07-08 00:44:57,39.9225,21.8028,61.56,56,26,3.0
24,Mataura,NZ,2022-07-08 00:44:58,-46.1927,168.8643,48.47,93,100,13.96
25,Bunia,CD,2022-07-08 00:44:58,1.5667,30.25,64.71,82,100,2.1
26,Yellowknife,CA,2022-07-08 00:40:05,62.456,-114.3525,79.32,27,20,11.5
27,Casma,CL,2022-07-08 00:44:58,-41.0082,-73.1244,47.48,89,100,6.71
28,Wangaratta,AU,2022-07-08 00:44:59,-36.3667,146.3333,49.46,84,100,13.8
29,New Norfolk,AU,2022-07-08 00:44:59,-42.7826,147.0587,50.92,81,100,1.99
30,Dingzhou,CN,2022-07-08 00:44:59,38.5131,114.9956,84.31,54,0,6.35
31,Pangnirtung,CA,2022-07-08 00:45:00,66.1451,-65.7125,48.61,67,100,2.28
32,Provideniya,RU,2022-07-08 00:45:00,64.3833,-173.3,53.71,87,100,7.0
33,Tocopilla,CL,2022-07-08 00:45:00,-22.092,-70.1979,61.41,76,46,3.24
34,Albany,US,2022-07-08 00:45:00,42.6001,-73.9662,75.16,71,100,2.64
35,Port Alfred,ZA,2022-07-08 00:45:01,-33.5906,26.891,60.24,72,4,7.45
36,Vila Velha,BR,2022-07-08 00:43:34,-20.3297,-40.2925,75.15,87,40,3.44
37,Narsaq,GL,2022-07-08 00:45:01,60.9167,-46.05,45.3,88,14,2.64
38,Bethel,US,2022-07-08 00:45:02,41.3712,-73.414,74.17,78,89,5.37
39,Saint George,US,2022-07-08 00:41:51,37.1041,-113.5841,102.25,10,0,7.0
40,Hilo,US,2022-07-08 00:43:15,19.7297,-155.09,90.28,86,100,6.91
41,Khatanga,RU,2022-07-08 00:45:02,71.9667,102.5,50.88,37,100,10.74
42,Bluff,NZ,2022-07-08 00:45:03,-46.6,168.3333,48.79,88,100,25.37
43,Axim,GH,2022-07-08 00:45:03,4.8699,-2.2405,75.78,84,100,9.06
44,Lebu,CL,2022-07-08 00:45:04,-37.6167,-73.65,46.09,82,9,4.43
45,Aklavik,CA,2022-07-08 00:42:21,68.2191,-135.0107,89.31,24,10,10.18
46,Butaritari,KI,2022-07-08 00:46:04,3.0707,172.7902,81.72,77,22,15.37
47,Punta Arenas,CL,2022-07-08 00:46:05,-53.15,-70.9167,26.71,93,0,4.61
48,Chechat,IN,2022-07-08 00:46:05,24.7667,75.8833,82.26,79,100,6.51
49,Uray,RU,2022-07-08 00:46:05,60.1247,64.7758,64.13,74,0,4.52
50,Avarua,CK,2022-07-08 00:46:06,-21.2078,-159.775,75.25,60,98,8.05
51,Coquimbo,CL,2022-07-08 00:46:06,-29.9533,-71.3436,53.33,100,0,8.05
52,Ribeira Grande,PT,2022-07-08 00:46:06,38.5167,-28.7,67.41,79,87,16.55
53,Paracuru,BR,2022-07-08 00:46:07,-3.41,-39.0306,77.11,88,100,9.62
54,Bathsheba,BB,2022-07-08 00:46:07,13.2167,-59.5167,81.21,86,20,23.02
55,Yeniseysk,RU,2022-07-08 00:46:07,58.4497,92.1703,63.46,69,94,3.62
56,Vila Franca Do Campo,PT,2022-07-08 00:46:07,37.7167,-25.4333,66.2,82,100,7.36
57,Wattegama,LK,2022-07-08 00:46:08,6.7989,81.4808,76.14,75,99,2.44
58,Beringovskiy,RU,2022-07-08 00:46:08,63.05,179.3167,48.24,85,93,7.96
59,Hamilton,US,2022-07-08 00:44:37,39.1834,-84.5333,82.81,69,40,4.61
60,Andenes,NO,2022-07-08 00:46:09,69.3143,16.1194,48.18,87,100,16.11
61,Dordrecht,NL,2022-07-08 00:44:49,51.81,4.6736,58.03,80,30,4.97
62,Bambous Virieux,MU,2022-07-08 00:46:09,-20.3428,57.7575,70.05,78,75,13.8
63,Hermanus,ZA,2022-07-08 00:46:09,-34.4187,19.2345,52.81,85,59,5.59
64,Necochea,AR,2022-07-08 00:46:10,-38.5473,-58.7368,42.08,52,10,9.71
65,East London,ZA,2022-07-08 00:46:10,-33.0153,27.9116,59.79,68,6,5.57
66,Busselton,AU,2022-07-08 00:46:10,-33.65,115.3333,57.97,81,78,10.09
67,Liancheng,CN,2022-07-08 00:46:11,24.0519,105.075,69.91,90,94,2.73
68,Coolum Beach,AU,2022-07-08 00:42:20,-26.5333,153.1,63.1,53,0,9.89
69,Pevek,RU,2022-07-08 00:46:11,69.7008,170.3133,40.6,76,100,4.59
70,Victoria,HK,2022-07-08 00:45:18,22.2855,114.1577,89.96,79,43,10.0
71,Estelle,US,2022-07-08 00:44:02,29.8458,-90.1067,88.0,70,75,4.61
72,Kapaa,US,2022-07-08 00:46:12,22.0752,-159.319,82.72,72,100,17.27
73,Abu Kamal,SY,2022-07-08 00:46:12,34.4506,40.9171,85.08,31,0,15.52
74,Georgetown,MY,2022-07-08 00:41:19,5.4112,100.3354,81.9,94,40,3.44
75,Saint Anthony,US,2022-07-08 00:46:12,45.0205,-93.218,84.92,72,0,6.91
76,Kailua,US,2022-07-08 00:46:13,21.4022,-157.7394,87.78,76,98,5.01
77,Pisco,PE,2022-07-08 00:46:13,-13.7,-76.2167,61.02,82,100,3.44
78,Kavaratti,IN,2022-07-08 00:46:13,10.5669,72.642,81.41,80,100,18.12
79,Dong Xoai,VN,2022-07-08 00:46:14,11.5333,106.9167,77.88,93,98,1.19
80,Valparaiso,CL,2022-07-08 00:44:44,-33.0393,-71.6273,51.48,83,0,2.3
81,Canico,PT,2022-07-08 00:42:13,32.6333,-16.85,68.0,65,20,5.75
82,Fiumicino,IT,2022-07-08 00:46:14,41.7675,12.2291,68.11,100,40,10.36
83,Taicheng,CN,2022-07-08 00:46:15,38.731,113.228,79.88,45,0,3.44
84,Taoudenni,ML,2022-07-08 00:41:51,22.6783,-3.9836,100.15,16,3,2.13
85,Faanui,PF,2022-07-08 00:44:18,-16.4833,-151.75,78.64,67,2,2.93
86,Cabo San Lucas,MX,2022-07-08 00:44:39,22.8909,-109.9124,94.17,58,1,10.11
87,Hasaki,JP,2022-07-08 00:46:15,35.7333,140.8333,79.29,80,97,22.41
88,Notodden,NO,2022-07-08 00:46:16,59.5594,9.2585,59.72,61,88,3.71
89,Upernavik,GL,2022-07-08 00:46:16,72.7868,-56.1549,40.12,91,20,9.22
90,Sirvintos,LT,2022-07-08 00:46:16,55.05,24.95,55.56,90,8,5.08
91,Inhambane,MZ,2022-07-08 00:46:17,-23.865,35.3833,62.98,77,0,4.72
92,Sarangani,PH,2022-07-08 00:46:17,5.4033,125.4636,82.29,77,100,12.75
93,Lons-Le-Saunier,FR,2022-07-08 00:47:17,46.75,5.75,61.23,95,0,4.72
94,Atuona,PF,2022-07-08 00:47:18,-9.8,-139.0333,77.52,75,2,21.61
95,Isangel,VU,2022-07-08 00:42:55,-19.55,169.2667,84.31,74,75,4.61
96,Roblin,CA,2022-07-08 00:47:18,51.23,-101.3565,63.82,78,8,6.26
97,Koslan,RU,2022-07-08 00:47:18,63.4564,48.8989,65.68,92,100,8.5
98,La Ronge,CA,2022-07-08 00:47:19,55.1001,-105.2842,77.25,25,40,6.91
99,Puerto Ayora,EC,2022-07-08 00:47:19,-0.7393,-90.3518,71.55,86,34,3.0
100,Carnarvon,AU,2022-07-08 00:47:19,-24.8667,113.6333,65.39,25,0,10.8
101,Murshidabad,IN,2022-07-08 00:47:20,24.1833,88.2667,83.08,80,100,8.57
102,Flinders,AU,2022-07-08 00:43:19,-34.5833,150.8552,56.17,65,0,8.99
103,Musoma,TZ,2022-07-08 00:47:20,-1.5,33.8,67.8,70,72,5.88
104,Hohhot,CN,2022-07-08 00:43:11,40.8106,111.6522,75.49,57,0,11.18
105,Hay River,CA,2022-07-08 00:45:15,60.8156,-115.7999,76.98,33,75,13.8
106,Severo-Kurilsk,RU,2022-07-08 00:46:40,50.6789,156.125,55.58,87,66,7.47
107,Guaruja,BR,2022-07-08 00:46:48,-23.9931,-46.2564,69.55,67,8,2.51
108,Castro,BR,2022-07-08 00:47:21,-24.7911,-50.0119,56.39,77,100,1.83
109,Fallon,US,2022-07-08 00:47:22,39.4735,-118.7774,92.44,13,20,8.05
110,Tuktoyaktuk,CA,2022-07-08 00:47:22,69.4541,-133.0374,75.2,60,40,12.66
111,Lima,PE,2022-07-08 00:43:51,-12.0432,-77.0282,61.9,79,75,4.61
112,Ravar,IR,2022-07-08 00:47:22,31.2656,56.8055,80.85,19,0,1.1
113,Karratha,AU,2022-07-08 00:47:23,-20.7377,116.8463,64.74,20,0,16.8
114,Saint-Philippe,RE,2022-07-08 00:47:23,-21.3585,55.7679,63.21,82,11,11.61
115,Lincoln,US,2022-07-08 00:46:02,40.8,-96.667,82.31,80,100,8.05
116,Ahipara,NZ,2022-07-08 00:47:23,-35.1667,173.1667,64.4,96,100,18.77
117,Penzance,GB,2022-07-08 00:47:24,50.1186,-5.5371,59.68,92,6,9.46
118,Green River,US,2022-07-08 00:43:45,41.5286,-109.4662,86.4,20,90,1.01
119,Yeppoon,AU,2022-07-08 00:47:24,-23.1333,150.7333,65.98,56,0,8.72
120,Mayo,US,2022-07-08 00:47:25,38.8876,-76.5119,78.75,85,40,6.91
121,Emba,KZ,2022-07-08 00:47:25,48.8264,58.1442,59.65,68,1,7.31
122,Voh,NC,2022-07-08 00:47:25,-20.9667,164.7,85.78,55,2,2.95
123,Bilibino,RU,2022-07-08 00:47:26,68.0546,166.4372,58.21,66,100,2.04
124,Tabou,CI,2022-07-08 00:47:26,4.423,-7.3528,75.81,82,100,8.77
125,Guerrero Negro,MX,2022-07-08 00:47:26,27.9769,-114.0611,71.56,73,0,16.44
126,Jamestown,US,2022-07-08 00:45:51,42.097,-79.2353,71.24,60,0,0.0
127,Port Hedland,AU,2022-07-08 00:47:27,-20.3167,118.5667,66.25,16,0,16.11
128,Saurimo,AO,2022-07-08 00:47:27,-9.6608,20.3916,56.14,47,2,5.41
129,Hokitika,NZ,2022-07-08 00:47:27,-42.7167,170.9667,51.85,86,100,9.78
