City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Lorengau,PG,81.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
391,Shenjiamen,CN,82.47,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
396,Lata,PT,75.07,clear sky,40.1629,-8.3327,Casa Maquia
397,Waingapu,ID,81.07,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
398,Banda Aceh,ID,87.94,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
406,Sakaiminato,JP,76.28,overcast clouds,35.55,133.2333,Italian pasley
407,Banjar,ID,83.5,overcast clouds,-8.19,114.9675,The Hamsa Resort
411,Kozhva,RU,85.17,broken clouds,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
412,Semey,KZ,80.82,scattered clouds,50.4111,80.2275,Grand Hotel Semey
420,Puerto Escondido,MX,78.21,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
422,Manokwari,ID,80.98,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
423,Bairiki,KI,80.04,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
425,Daru,PG,78.69,broken clouds,-9.0763,143.2092,Daru Lodge
427,Kralendijk,BQ,80.06,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
428,Katobu,ID,79.0,light rain,-4.9408,122.5276,La Ode Husein
429,Culaman,PH,81.64,overcast clouds,5.9603,125.6586,Jasmin Ex House
431,Xinmin,CN,85.78,few clouds,41.9908,122.8253,Agricultural Machinery Hotel
432,Bontang,ID,83.95,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
435,Pakxan,LA,81.39,light rain,18.3778,103.6601,Kong Kham Pheng Guesthouse
436,Gafanha Da Encarnacao,PT,78.06,clear sky,40.6181,-8.733,Hotel Barra
438,Kupang,ID,78.89,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
439,Matara,LK,86.7,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
442,Elizabeth City,US,78.01,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
446,Biak,ID,79.14,overcast clouds,-0.9131,122.8766,Penginapan Kim
447,Iracoubo,GF,76.62,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
450,Ugoofaaru,MV,82.9,overcast clouds,5.6667,73.0,Ungoofaaru Inn
451,Bambari,CF,75.02,overcast clouds,5.768,20.6757,Hotel-Restaurant BIBICH
453,La Asuncion,VE,78.53,clear sky,11.0333,-63.8628,Colinas de Matasiete
457,Noumea,NC,78.78,clear sky,-22.2763,166.4572,Hôtel Le Lagon
465,Iberia,US,81.05,clear sky,29.9502,-91.7507,back to back rv park
475,San-Pedro,CI,75.02,light rain,4.7485,-6.6363,Hotel Maria
478,Kununurra,AU,80.58,few clouds,-15.7667,128.7333,Hotel Kununurra
481,Yatou,CN,86.41,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
483,Tabou,CI,75.29,light rain,4.423,-7.3528,hotêl doufoulougou
484,Ushtobe,KZ,85.26,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
486,Miri,MY,86.43,light rain,4.4148,114.0089,"Mega Hotel, Miri"
487,Maningrida,AU,84.27,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
491,Ivanivka,UA,87.75,scattered clouds,46.7208,34.553,Спорт Лото
492,Isangel,VU,77.04,overcast clouds,-19.55,169.2667,Tanna Lodge
494,Gunjur,GM,79.29,broken clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
498,Jaen,ES,79.16,clear sky,38.0,-3.5,Hotel TRH Baeza
500,San Andres,CO,81.52,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
501,Roura,GF,75.96,scattered clouds,4.7263,-52.3274,Amazonie Découverte SARL
503,Kirakira,SB,80.29,few clouds,-10.4544,161.9205,SanBiz Lodge
506,Yushu,CN,83.25,few clouds,44.8,126.5333,Honorable Institute
509,Ayagoz,KZ,80.91,scattered clouds,47.9714,80.4392,ХАН
512,Urdoma,RU,79.75,clear sky,61.7533,48.5442,Vikonda
513,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
514,Awjilah,LY,87.04,clear sky,29.1081,21.2869,المنزل
516,Mount Pleasant,US,80.6,broken clouds,32.7941,-79.8626,Best Western Patriots Point
519,Jalingo,NG,79.05,overcast clouds,8.8833,11.3667,Debright Motel
520,Misratah,LY,85.19,clear sky,32.3754,15.0925,Almasa Hotel
531,Colares,PT,83.39,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
532,Russell,US,81.01,broken clouds,32.3502,-85.1999,Macs
534,Nara,JP,87.91,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
536,Bartlesville,US,87.75,clear sky,36.7473,-95.9808,Hilton Garden Inn Bartlesville
537,Domoni,KM,77.0,scattered clouds,-12.2569,44.5319,Al Djadid
538,Fulton,US,78.91,clear sky,33.7668,-84.4499,The Blue Door
548,Houma,US,79.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
551,Tevriz,RU,80.26,clear sky,57.509,72.4042,Postoyalyy Dvor
552,Carbondale,US,80.02,clear sky,37.7273,-89.2168,Best Western Saluki Inn
553,The Valley,AI,79.11,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
554,Galeras,CO,75.36,overcast clouds,9.161,-75.0481,Finca el Naranjal
556,Makushino,RU,75.33,clear sky,55.2103,67.2442,Cristina Hotel
558,Pangai,TO,75.9,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
559,Havelock,US,81.95,moderate rain,34.8791,-76.9013,Sherwood Motel
564,Nouakchott,MR,75.13,clear sky,18.0858,-15.9785,HOTEL IMAN
569,Alexandria,EG,80.38,clear sky,31.2156,29.9553,Royal Crown Hotel
571,Atchison,US,77.58,light rain,39.563,-95.1216,"Quality Inn, Atchison"
573,Okha,RU,77.38,overcast clouds,53.5739,142.9478,Sakhalin-Sfera
574,Mazatlan,MX,82.02,broken clouds,23.2167,-106.4167,Hotel La Siesta
580,Pasni,PK,84.0,overcast clouds,25.2631,63.471,Kashmiri Hotal
581,Yelizovo,RU,75.34,clear sky,53.1873,158.3805,Kamchatskiy Stil' Hostel
582,Nyrob,RU,81.5,overcast clouds,60.733,56.7202,Gostinitsa
584,Manga,BF,75.85,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
589,Kendari,ID,76.69,light rain,-3.945,122.4989,Hotel Wixel
590,Bambanglipuro,ID,81.05,scattered clouds,-7.95,110.2833,Puri Brata
593,Nova Vodolaha,UA,83.8,few clouds,49.7185,35.8708,"Водолага (Центральная), гостиница"
594,San Rafael Del Sur,NI,76.84,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
602,Kargasok,RU,76.55,scattered clouds,59.0556,80.8572,Hotel Kargasok
604,Tiarei,PF,77.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
606,Gorontalo,ID,78.69,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
609,Muzhi,RU,84.83,few clouds,65.3667,64.6667,Gostinitsa
613,Meadow Lake,US,79.12,clear sky,34.8014,-106.5436,TumbleWeed RV Park
614,Moindou,NC,76.21,clear sky,-21.6924,165.677,Equi-lodge de Moindou
615,Nishihara,JP,87.85,broken clouds,26.1842,127.7558,Minshuku Agaihama
621,Rovinj,HR,75.02,scattered clouds,45.08,13.64,Hotel Monte Mulini
622,Champerico,GT,79.38,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
626,Gainesville,US,77.11,clear sky,29.6516,-82.3248,Stayable Select
628,Kutum,SD,80.49,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
630,Tarko-Sale,RU,78.6,overcast clouds,64.9225,77.785,Yubileynaya
634,Yingcheng,CN,89.69,broken clouds,30.95,113.55,Yingcheng Hotel
636,Guangshui,CN,87.91,overcast clouds,31.6199,113.9978,广水市雅瑞假日生态园
643,Samarai,PG,82.04,few clouds,-10.6167,150.6667,Nuli Sapi
646,Gizo,SB,83.61,overcast clouds,-8.103,156.8419,Imagination Island
649,Bubaque,GW,80.17,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
651,Nandurbar,IN,82.65,overcast clouds,21.3667,74.25,Hotel Heera Executive
653,Jalu,LY,86.95,clear sky,29.0331,21.5482,صاحبة الفخامة
654,Phuket,TH,89.1,moderate rain,8.0,98.25,The Surin
655,Antipino,RU,80.55,scattered clouds,57.1068,65.7576,Деревенская Баня на дровах
656,Sorong,ID,80.46,moderate rain,-0.8833,131.25,Waigo Splash Hotel
657,Kismayo,SO,79.2,few clouds,-0.3582,42.5454,Agan-Hotel
661,Idah,NG,75.13,overcast clouds,7.1065,6.7342,Ubiga Hotel Idah
663,Makurdi,NG,76.14,overcast clouds,7.7411,8.5121,Doo Palace Hotel
668,Tema,GH,76.66,overcast clouds,5.667,-0.0166,Beulah Royale Hotel Tema
673,Encrucijada,CU,75.76,scattered clouds,22.6169,-79.8711,Hostal La Terraza
677,Tual,ID,79.52,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
680,Impfondo,CG,81.34,scattered clouds,1.6381,18.0667,Auberge La Place de Jules
